Rank,StrategyName,SignalType,ATRPeriod,InitialStopMultiplier,BETrigger,TargetMultiplier,TotalTrades,WinningTrades,LosingTrades,WinRate,TotalProfit,TotalLoss,NetProfit,ProfitFactor,AvgWin,AvgLoss,AvgWinLossRatio,SystemScore,BreakevenTriggeredPct,AvgBarsInTrade
22,ATR_Breakeven_Stop,Short,30,2.0,2.5,6.0,60033,15824,32693,0.26358835973547884,7503494.485494004,7903722.024839407,-400227.5393454036,0.9493621437991381,474.1844341186807,241.7557894607227,1.9614191460582167,-379960.87476040627,41.648759848749854,13.32523778588443
23,ATR_Breakeven_Stop,Short,30,2.0,2.5,5.0,60033,16564,32693,0.27591491346426134,7450364.961502206,7903722.024839407,-453357.0633372016,0.9426400546587527,449.79262023075376,241.7557894607227,1.8605247106350276,-427352.5269641113,41.648759848749854,12.634317791881132
24,ATR_Breakeven_Stop,Short,30,2.0,2.5,4.0,60033,18232,32693,0.3036996318691386,7414705.855105443,7903722.024839407,-489016.1697339636,0.9381283693686203,406.6863676560686,241.7557894607227,1.6822197663321798,-458759.94190741173,41.648759848749854,11.572701680742258
25,ATR_Breakeven_Stop,Short,30,2.0,2.0,10.0,60033,12943,29979,0.21559808771842154,6672698.271921704,7305717.860424204,-633019.5885025002,0.9133528558594317,515.5449487693505,243.69451484119563,2.1155377629459866,-578170.2489737208,48.01525827461563,13.219579231422717
26,ATR_Breakeven_Stop,Short,30,2.0,2.0,8.0,60033,13156,29979,0.21914613629170623,6650095.554063244,7305717.860424204,-655622.3063609605,0.9102590164462098,505.4800512361845,243.69451484119563,2.074236474159389,-596786.1157483235,48.01525827461563,12.944480535705361
27,ATR_Breakeven_Stop,Short,30,2.0,2.0,7.0,60033,13328,29979,0.22201122715839622,6619120.457220202,7305717.860424204,-686597.4032040013,0.9060191734308044,496.63268736646177,243.69451484119563,2.0379313325541784,-622070.4117306259,48.01525827461563,12.68742191794513
28,ATR_Breakeven_Stop,Short,30,2.0,2.0,6.0,60033,13678,29979,0.22784135392200955,6596087.963041851,7305717.860424204,-709629.897382353,0.9028665066267495,482.2406757597493,243.69451484119563,1.9788737390088698,-640701.0664475037,48.01525827461563,12.27548181833325
29,ATR_Breakeven_Stop,Short,30,2.0,2.0,5.0,60033,14331,29979,0.23871870471240816,6540407.914433939,7305717.860424204,-765309.945990264,0.8952450723376516,456.3818236294703,243.69451484119563,1.8727619861566154,-685139.9579587781,48.01525827461563,11.655206303199908
30,ATR_Breakeven_Stop,Short,30,2.0,2.0,4.0,60033,15797,29979,0.26313860709942866,6504979.745112033,7305717.860424204,-800738.1153121714,0.8903956968212735,411.78576597531384,243.69451484119563,1.6897621443948192,-712973.7721547341,48.01525827461563,10.696250395615746
31,ATR_Breakeven_Stop,Short,30,2.0,1.5,10.0,60033,10058,26117,0.16754118568120868,5288089.533965899,6399192.86899474,-1111103.3350288414,0.8263682064636089,525.759548018085,245.0202117009894,2.1457803189709757,-918180.470163518,55.709359852081356,11.223110622490964
32,ATR_Breakeven_Stop,Short,30,2.0,1.5,8.0,60033,10227,26117,0.17035630403278196,5278235.370693038,6399192.86899474,-1120957.4983017016,0.8248282992480277,516.1078880114441,245.0202117009894,2.1063890379838406,-924597.4668535164,55.709359852081356,10.999367014808522
33,ATR_Breakeven_Stop,Short,30,2.0,1.5,7.0,60033,10364,26117,0.17263838222311062,5255107.273638197,6399192.86899474,-1144085.5953565438,0.8212140782785519,507.05396310673456,245.0202117009894,2.069437290853043,-939539.1976624924,55.709359852081356,10.78438525477654
34,ATR_Breakeven_Stop,Short,30,2.0,1.5,6.0,60033,10640,26117,0.17723585361384572,5231078.96327834,6399192.86899474,-1168113.9057164006,0.8174591812389145,491.64275970661095,245.0202117009894,2.0065396086857827,-954885.4369607194,55.709359852081356,10.442639881398565
35,ATR_Breakeven_Stop,Short,30,2.0,1.5,5.0,60033,11158,26117,0.18586444122399348,5168992.8712485405,6399192.86899474,-1230199.9977461996,0.8077570057769717,463.254424739966,245.0202117009894,1.8906784118907665,-993702.6666863075,55.709359852081356,9.935668715539787
36,ATR_Breakeven_Stop,Short,30,2.0,1.5,4.0,60033,12282,26117,0.20458747688771176,5123938.102800354,6399192.86899474,-1275254.7661943866,0.8007163102751242,417.1908567660279,245.0202117009894,1.7026793580406627,-1021117.2910479355,55.709359852081356,9.150966968167507
